id_date;cod_batle_unique;cod_trainer_a;cod_trainer_b;cod_pok_a;cod_pok_b;result;location
20230606;20230606|20|18|57|372|2;20;18;57;37;2;4
20230612;20230612|8|17|10|1492|3;8;17;10;149;3;5
20230618;20230618|16|18|39|1252|4;16;18;39;125;2;2
20230623;20230623|12|17|113|652|5;12;17;113;65;1;5
20230531;20230531|3|6|146|112|6;3;6;146;11;2;2
20230711;20230711|18|1|59|1272|7;18;1;59;127;3;1
20230701;20230701|2|18|21|772|8;2;18;21;77;3;2
20230620;20230620|3|14|85|32|9;3;14;85;3;2;3
20230714;20230714|20|6|42|462|10;20;6;42;46;3;3
20230712;20230712|16|18|76|1052|11;16;18;76;105;3;5
20230713;20230713|18|15|30|642|12;18;15;30;64;2;2
20230622;20230622|3|4|57|762|13;3;4;57;76;3;3
20230706;20230706|11|18|118|372|14;11;18;118;37;2;3
20230618;20230618|15|12|55|172|15;15;12;55;17;3;3
20230616;20230616|17|9|149|892|16;17;9;149;89;3;2
